,G1,G2
0,M6PR,IGF2R
1,M6PR,IGF2
2,FKBP4,MAPK1
3,FKBP4,DYNLL2
4,FKBP4,HSP90AA1
5,FKBP4,MAPK3
6,FKBP4,DCTN6
7,FKBP4,AR
8,FKBP4,HSPA4
9,FKBP4,MAPT
10,FKBP4,PPP5C
11,FKBP4,PTGES3
12,FKBP4,ESR1
13,FKBP4,ATOX1
14,FKBP4,PGR
15,FKBP4,DCTN1
16,FKBP4,FKBP5
17,FKBP4,NR3C2
18,FKBP4,NR3C1
19,SEMA3F,PLXNC1
20,SEMA3F,PLXNA3
21,SEMA3F,NRP1
22,SEMA3F,NRP2
23,CFTR,GOPC
24,CFTR,PRKAR1A
25,CFTR,PSMD6
26,CFTR,PSMD12
27,CFTR,ADRB2
28,CFTR,CANX
29,CFTR,AGT
30,CFTR,VCP
31,CFTR,HSPA8
32,CFTR,CXCL12
33,CFTR,CCL4
34,CFTR,SLC9A3R2
35,CFTR,EDN1
36,CFTR,CHMP2B
37,CFTR,PSMD9
38,CFTR,CCL11
39,CFTR,GFAP
40,CFTR,PSMB7
41,CFTR,EZR
42,CFTR,F2
43,CFTR,HSPA4
44,CFTR,KRT8
45,CFTR,STX1A
46,CFTR,HSP90AA1
47,CFTR,SLC26A3
48,CFTR,PDZK1
49,HOXA11,FOXO1
50,CRY1,CLOCK
51,CRY1,NPAS2
52,CRY1,PPP1CB
53,CRY1,CRY2
54,CRY1,PER1
55,CRY1,CSNK1E
56,CRY1,PER2
57,CRY1,ARNTL
58,CRY1,PER3
59,CD74,HLA-DPA1
60,CD74,HLA-DRA
61,CD74,CTSS
62,CD74,CXCR2
63,CD74,HLA-DRB1
64,CD74,HLA-DRB5
65,CD74,HLA-DQA1
66,CD74,HLA-DQB1
67,CD74,CD44
68,CD74,HLA-DMA
69,CD74,MIF
70,CD74,CTSD
71,CD74,CXCR4
72,CD74,HLA-DPB1
73,CD74,HLA-DQA2
74,CD74,CTSK
75,CD74,CTSB
76,CD74,APP
77,CPA1,CTRL
78,RANBP9,KRAS
79,RANBP9,NRAS
80,RANBP9,MAEA
81,RANBP9,MET
82,RANBP9,HGF
83,RANBP9,HRAS
84,RANBP9,L1CAM
85,PPP5C,CCT5
86,PPP5C,NSD2
87,PPP5C,NR3C1
88,PPP5C,H2AX
89,PPP5C,TSC1
90,PPP5C,FKBP5
91,PPP5C,PTGES3
92,PPP5C,PSMG1
93,PPP5C,H2BC12
94,PPP5C,KRAS
95,PPP5C,HRAS
96,PPP5C,RAF1
97,PPP5C,ARAF
98,PPP5C,HSP90AA1
99,PPP5C,MAPK3
100,PPP5C,BRAF
101,PPP5C,HERC2
102,PPP5C,MAPK1
103,PPP5C,NRAS
104,PPP5C,NBN
105,PPP5C,TP53BP1
106,PPP5C,ATM
107,PPP5C,MAP3K5
108,ERCC1,TOPBP1
109,ERCC1,PRKDC
110,ERCC1,ATR
111,ERCC1,BARD1
112,ERCC1,LIG4
113,ERCC1,MSH3
114,ERCC1,ATM
115,ERCC1,ERCC3
116,ERCC1,BRIP1
117,ERCC1,RCOR1
118,ERCC1,NBN
119,ERCC1,POLD1
120,ERCC1,MSH2
121,ERCC1,PMS2
122,ERCC1,XPA
123,ERCC1,RAD9A
124,ERCC1,MSH6
125,ERCC1,RAD51
126,ERCC1,ERCC2
127,ERCC1,XRCC1
128,ERCC1,BRCA1
129,ERCC1,EXO1
130,ERCC1,XRCC4
131,ERCC1,KDM1A
132,ERCC1,DCLRE1C
133,ERCC1,XPC
134,XYLT2,GRB2
135,XYLT2,BGN
136,XYLT2,SDC4
137,XYLT2,NCAN
138,XYLT2,HSPG2
139,XYLT2,VCAN
140,XYLT2,CSPG5
141,XYLT2,DCN
142,SCTR,GNAS
143,SCTR,SCT
144,RALBP1,KRAS
145,RALBP1,CDC42
146,RALBP1,RAC1
147,RALBP1,REPS2
148,RALBP1,RHOA
149,RALBP1,ARF1
150,RALBP1,RRAS
151,RALBP1,HRAS
152,RB1CC1,PTK2
153,RB1CC1,RPTOR
154,RB1CC1,TP53
155,RB1CC1,C9orf72
156,RB1CC1,PIK3C3
157,RB1CC1,MTOR
158,RB1CC1,ATG16L1
159,RB1CC1,SQSTM1
160,RB1CC1,GABARAP
161,RB1CC1,DYNLL2
162,RB1CC1,BECN1
163,RB1CC1,AMBRA1
164,PIGQ,PIGH
165,OTC,ARG2
166,OTC,NOS3
167,OTC,ACY1
168,OTC,NOS2
