,P1,P2
0,P20645,O60664
1,P20645,P11717
2,P20645,P00797
3,Q9NR63,Q6V0L0
4,Q9NR63,O43174
5,Q9NR63,O94788
6,Q9NR63,Q06278
7,Q9NR63,P05177
8,Q9NR63,P00352
9,Q9NR63,P08684
10,Q9NR63,P47895
11,P13569,P07550
12,P13569,P40306
13,P13569,P78352
14,P13569,P27824
15,P13569,P28074
16,P13569,P12931
17,P13569,P28062
18,P13569,P11142
19,P13569,P48048
20,P13569,P07477
21,P13569,Q9Y478
22,P13569,P54619
23,P13569,O43741
24,P13569,P20618
25,P13569,P51170
26,P13569,P28065
27,P13569,P54646
28,P13569,Q9UGI9
29,P13569,Q13131
30,P13569,Q9UGJ0
31,P13569,P00734
32,P13569,P08238
33,P13569,P37088
34,P13569,P05787
35,P13569,P55011
36,P13569,P07900
37,P13569,Q5XXA6
38,P13569,P49721
39,P13569,Q9UBN7
40,Q16850,Q99720
41,Q16850,P04035
42,Q16850,O00264
43,Q16850,P14324
44,Q16850,Q14534
45,O60359,Q13698
46,O60359,Q9BXT2
47,O60359,Q01668
48,O60359,O60840
49,O60359,O00305
50,O60359,Q7Z3S7
51,O60359,P42262
52,O60359,Q02641
53,O60359,Q06432
54,O60359,Q13936
55,O60359,Q14957
56,O60359,Q12879
57,O60359,P54284
58,O60359,Q00975
59,O60359,P62955
60,O60359,P42261
61,O60359,P42263
62,O60359,Q9Y698
63,O60359,Q8WXS5
64,O60359,P54289
65,O60359,Q8TCU5
66,O60359,Q13224
67,O60359,Q13555
68,O60359,O95180
69,O60359,Q9UBN1
70,O60359,Q05586
71,O60359,Q15878
72,Q8WUI4,Q16665
73,Q8WUI4,O15379
74,Q8WUI4,P03372
75,Q8WUI4,P10275
76,Q8WUI4,P35222
77,Q8WUI4,P29590
78,Q8WUI4,Q92769
79,P51787,Q14500
80,Q8WUI4,Q13547
81,P51787,Q9Y6J6
82,P51787,O43526
83,P51787,P0DP23
84,P51787,Q9NR82
85,P51787,Q14524
86,P51787,Q9UJ90
87,P51787,P55011
88,P51787,Q9H252
89,P51787,Q8WWG9
90,P51787,O95259
91,P51787,P15382
92,P51787,O15554
93,P51787,P63252
94,P51787,P56696
95,P51787,P48050
96,P51787,O43525
97,P51787,Q9Y6H6
98,P51787,Q12809
99,P51787,Q9UNX9
100,P51787,Q9NS40
101,Q99714,P05067
102,Q99714,P00441
103,Q99714,P30084
104,Q99714,P24752
105,P08620,P22455
106,P08620,P28482
107,P08620,P11362
108,P08620,P35968
109,P08620,P01133
110,P08620,P27361
111,P08620,P21802
112,P08620,P22607
113,Q14145,Q04206
114,Q14145,P15559
115,Q14145,P42345
116,Q14145,P48507
117,Q14145,P07900
118,Q14145,O14920
119,Q14145,P31749
120,Q14145,P17252
121,Q14145,P04040
122,Q14145,P10636
123,Q14145,P48506
124,Q14145,Q969S2
125,Q14145,P05771
126,P08243,Q9UGI5
127,P08243,P27708
128,P08243,P00505
129,P08243,Q8N142
130,P08243,P41250
131,P08243,P18848
132,P08243,P15104
133,P08243,P30520
134,P08243,P17174
135,P08243,Q5T6L4
136,P08243,P45381
137,P08243,Q7L266
138,P21917,Q01959
139,P21917,P21964
140,P21917,P35462
141,P21917,P31645
142,P21917,P21397
143,Q02809,P08123
144,Q02809,O60568
145,Q02809,O00469
146,Q02809,Q32P28
147,Q02809,P02452
148,Q02809,P02461
149,Q02809,O15460
150,P55809,P24752
151,P55809,Q9BYC2
152,P55809,P53597
153,P55809,Q9P2R7
154,P07327,P00352
155,P07327,O43174
156,P07327,P09211
157,P07327,Q06278
158,P07327,P05091
159,P07327,O95237
160,P07327,P47895
161,P07327,P00325
162,P07327,P00326
163,P07327,Q6NUM9
164,O15264,P10636
165,O15264,P03372
166,O15264,Q15759
167,O15264,P53778
168,O15264,P06401
169,O15264,P12931
170,O15264,Q02750
171,O15264,Q92731
172,O15264,P01106
173,O15264,P35968
174,O15264,P01100
175,O15264,P15692
176,O15264,Q16539
177,O15264,P63000
178,O15264,P28482
179,O15264,P36507
180,O15264,P05412
181,O15264,P06241
182,O15264,P27361
183,O15264,P15336
184,O15264,P04637
185,O15264,P16220
186,P53778,Q92731
187,P53778,P01106
188,P53778,Q02750
189,P53778,P03372
190,P53778,P10636
191,P53778,Q15759
192,P53778,P12931
193,P53778,P06401
194,P53778,P16220
195,P53778,P04637
196,P53778,P27361
197,P53778,P29074
198,P53778,P15336
199,P53778,P05412
200,P53778,P15692
201,P53778,P06241
202,P53778,Q16539
203,P05546,P04275
